EmailText,Label
Please send over the updated invoice for the client.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Urgent: Update your bank account information!,Spam
Please find the attached file for your review.,Ham
Please find the attached file for your review.,Ham
Don't forget to submit the report by the end of the week.,Ham
Your package has been shipped and will arrive soon.,Ham
Can you send me the latest version of the document?,Ham
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Get a loan approved instantly with no credit check!,Spam
Limited time offer! Get free shipping on all orders.,Spam
Please send over the updated invoice for the client.,Ham
Please send over the updated invoice for the client.,Ham
Let's schedule a meeting for next Monday.,Ham
Don't forget to submit the report by the end of the week.,Ham
Claim your free gift card now!,Spam
Don't forget to submit the report by the end of the week.,Ham
Your package has been shipped and will arrive soon.,Ham
Can you send me the latest version of the document?,Ham
Your package has been shipped and will arrive soon.,Ham
I'll call you later today to discuss the details.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Earn money fast! Work from home and make $2000 per week.,Spam
Please find the attached file for your review.,Ham
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Are you free for lunch tomorrow?,Ham
Let's schedule a meeting for next Monday.,Ham
Urgent: Update your bank account information!,Spam
Special offer: Get 50% off on your next purchase!,Spam
Urgent: Update your bank account information!,Spam
Please find the attached file for your review.,Ham
Get a loan approved instantly with no credit check!,Spam
Don't forget to submit the report by the end of the week.,Ham
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Get a loan approved instantly with no credit check!,Spam
Win a free iPhone by clicking here!,Spam
Don't forget to submit the report by the end of the week.,Ham
Your package has been shipped and will arrive soon.,Ham
Get a loan approved instantly with no credit check!,Spam
You have a new message from PayPal. Please verify your account.,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Claim your free gift card now!,Spam
Your package has been shipped and will arrive soon.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Claim your free gift card now!,Spam
Limited time offer! Get free shipping on all orders.,Spam
You have a new message from PayPal. Please verify your account.,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Don't forget to submit the report by the end of the week.,Ham
Win a free iPhone by clicking here!,Spam
Please find the attached file for your review.,Ham
Let's schedule a meeting for next Monday.,Ham
Can you send me the latest version of the document?,Ham
Get a loan approved instantly with no credit check!,Spam
Special offer: Get 50% off on your next purchase!,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Your package has been shipped and will arrive soon.,Ham
You have a new message from PayPal. Please verify your account.,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Can you send me the latest version of the document?,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
You have a new message from PayPal. Please verify your account.,Spam
Please find the attached file for your review.,Ham
Let's schedule a meeting for next Monday.,Ham
I'll call you later today to discuss the details.,Ham
You have a new message from PayPal. Please verify your account.,Spam
Special offer: Get 50% off on your next purchase!,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Earn money fast! Work from home and make $2000 per week.,Spam
Don't forget to submit the report by the end of the week.,Ham
Act fast! Only a few hours left to claim your prize!,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Please send over the updated invoice for the client.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Are you free for lunch tomorrow?,Ham
I'll call you later today to discuss the details.,Ham
Urgent: Update your bank account information!,Spam
Your package has been shipped and will arrive soon.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Limited time offer! Get free shipping on all orders.,Spam
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Claim your free gift card now!,Spam
Win a free iPhone by clicking here!,Spam
You have a new message from PayPal. Please verify your account.,Spam
You have a new message from PayPal. Please verify your account.,Spam
Can you send me the latest version of the document?,Ham
Don't forget to submit the report by the end of the week.,Ham
Win a free iPhone by clicking here!,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Let's schedule a meeting for next Monday.,Ham
Claim your free gift card now!,Spam
Win a free iPhone by clicking here!,Spam
Earn money fast! Work from home and make $2000 per week.,Spam
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Don't forget to submit the report by the end of the week.,Ham
Get a loan approved instantly with no credit check!,Spam
Get a loan approved instantly with no credit check!,Spam
Don't forget to submit the report by the end of the week.,Ham
Urgent: Update your bank account information!,Spam
Please find the attached file for your review.,Ham
Act fast! Only a few hours left to claim your prize!,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Please find the attached file for your review.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Win a free iPhone by clicking here!,Spam
Earn money fast! Work from home and make $2000 per week.,Spam
Let's schedule a meeting for next Monday.,Ham
Please send over the updated invoice for the client.,Ham
Let's schedule a meeting for next Monday.,Ham
Urgent: Update your bank account information!,Spam
I'll call you later today to discuss the details.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Don't forget to submit the report by the end of the week.,Ham
Please send over the updated invoice for the client.,Ham
Please find the attached file for your review.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
I'll call you later today to discuss the details.,Ham
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Act fast! Only a few hours left to claim your prize!,Spam
Are you free for lunch tomorrow?,Ham
Get a loan approved instantly with no credit check!,Spam
Get a loan approved instantly with no credit check!,Spam
Win a free iPhone by clicking here!,Spam
Get a loan approved instantly with no credit check!,Spam
Your package has been shipped and will arrive soon.,Ham
I'll call you later today to discuss the details.,Ham
Claim your free gift card now!,Spam
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Claim your free gift card now!,Spam
Urgent: Update your bank account information!,Spam
Claim your free gift card now!,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Please send over the updated invoice for the client.,Ham
Please find the attached file for your review.,Ham
Get a loan approved instantly with no credit check!,Spam
Please send over the updated invoice for the client.,Ham
Are you free for lunch tomorrow?,Ham
"Congratulations, you've won $5000 in our sweepstakes!",Spam
I'll call you later today to discuss the details.,Ham
Special offer: Get 50% off on your next purchase!,Spam
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Can you send me the latest version of the document?,Ham
Claim your free gift card now!,Spam
Your package has been shipped and will arrive soon.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Win a free iPhone by clicking here!,Spam
Don't forget to submit the report by the end of the week.,Ham
Are you free for lunch tomorrow?,Ham
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Act fast! Only a few hours left to claim your prize!,Spam
Let's schedule a meeting for next Monday.,Ham
Urgent: Update your bank account information!,Spam
Urgent: Update your bank account information!,Spam
Don't forget to submit the report by the end of the week.,Ham
I'll call you later today to discuss the details.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
You have a new message from PayPal. Please verify your account.,Spam
Special offer: Get 50% off on your next purchase!,Spam
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Let's schedule a meeting for next Monday.,Ham
I'll call you later today to discuss the details.,Ham
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Don't forget to submit the report by the end of the week.,Ham
Your package has been shipped and will arrive soon.,Ham
Special offer: Get 50% off on your next purchase!,Spam
Urgent: Update your bank account information!,Spam
Your package has been shipped and will arrive soon.,Ham
Act fast! Only a few hours left to claim your prize!,Spam
Don't forget to submit the report by the end of the week.,Ham
Please find the attached file for your review.,Ham
Please send over the updated invoice for the client.,Ham
Please send over the updated invoice for the client.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Win a free iPhone by clicking here!,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Please find the attached file for your review.,Ham
I'll call you later today to discuss the details.,Ham
Special offer: Get 50% off on your next purchase!,Spam
Let's schedule a meeting for next Monday.,Ham
Can you send me the latest version of the document?,Ham
Don't forget to submit the report by the end of the week.,Ham
Act fast! Only a few hours left to claim your prize!,Spam
Your package has been shipped and will arrive soon.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Please find the attached file for your review.,Ham
Don't forget to submit the report by the end of the week.,Ham
Please find the attached file for your review.,Ham
Urgent: Update your bank account information!,Spam
Let's schedule a meeting for next Monday.,Ham
Special offer: Get 50% off on your next purchase!,Spam
Can you send me the latest version of the document?,Ham
Claim your free gift card now!,Spam
Limited time offer! Get free shipping on all orders.,Spam
Act fast! Only a few hours left to claim your prize!,Spam
Are you free for lunch tomorrow?,Ham
Special offer: Get 50% off on your next purchase!,Spam
Special offer: Get 50% off on your next purchase!,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Let's schedule a meeting for next Monday.,Ham
Please send over the updated invoice for the client.,Ham
Urgent: Update your bank account information!,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
I'll call you later today to discuss the details.,Ham
Urgent: Update your bank account information!,Spam
Limited time offer! Get free shipping on all orders.,Spam
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Please send over the updated invoice for the client.,Ham
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Please find the attached file for your review.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Your package has been shipped and will arrive soon.,Ham
"Congratulations, you've won $5000 in our sweepstakes!",Spam
Act fast! Only a few hours left to claim your prize!,Spam
Are you free for lunch tomorrow?,Ham
Limited time offer! Get free shipping on all orders.,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Please find the attached file for your review.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Limited time offer! Get free shipping on all orders.,Spam
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Please send over the updated invoice for the client.,Ham
Let's meet tomorrow at 10 AM for the project discussion.,Ham
Your package has been shipped and will arrive soon.,Ham
Earn money fast! Work from home and make $2000 per week.,Spam
Are you free for lunch tomorrow?,Ham
Special offer: Get 50% off on your next purchase!,Spam
Special offer: Get 50% off on your next purchase!,Spam
Reminder: Your doctor's appointment is tomorrow at 3 PM.,Ham
Let's schedule a meeting for next Monday.,Ham
